1;000000;schwarz (46);;;;;
2;828282;dunkelgrau (96);;;;;
3;A0A0A0;hellgrau (94);;;;;
4;5F311E;braun (45);;;;;
5;D3823C;ocker dunkel (89);;;;;
6;FFFF00;gelb (44);;;;;
7;C5203A;dunkelrot (50);;;;;
8;FF0000;rot (40);;;;;
9;FFA500;orange (54);;;;;
10;FAD780;apricot (26);;;;;
11;D90385;pink (56);;;;;
12;EE82EE;violett (55);;;;;
13;9A30B2;lila (58);;;;;
14;8C5F96;flieder (59);;;;;
15;223B37;olivgrün (63);;;;;
16;005035;tannengrün (53);;;;;
17;008000;grün (36);;;;;
18;14B43C;hellgrün (43);;;;;
19;9DD32F;apfelgrün (33);;;;;
20;6CC2E3;eisgrün (13);;;;;
21;231848;nachtblau (22);;;;;
22;0000FF;blau (41);;;;;
23;157DBE;mittelblau (32);;;;;
24;00A9C4;türkisblau (51);;;;;
25;4CBED9;hellblau (57);;;;;
26;FFFF14;highlight gelb (024);;;;;
27;14BE3C;highlight grün (033);;;;;
28;E60A8C;highlight pink (040);;;;;
29;FFAA0A;highlight orange (054);;;;;
30;E6AA8C;highlight rosa (056);;;;;
;;;;;;;
