----- Possible levels: Trace, Debug, Info, Warn, Error, Fatal ----|

2020-01-07 19:34:53.6651 | Info  | GRBL_Plotter.MainForm          | ++++++ GRBL-Plotter Ver. 1.3.3.0 START ++++++
2020-01-07 19:34:53.9932 | Info  | GRBL_Plotter.MainForm          | Language: en
2020-01-07 19:34:56.5625 | Info  | GRBL_Plotter.ControlSerialForm | Form 1, openPort COM3 115200
2020-01-07 19:34:56.5625 | Warn  | GRBL_Plotter.ControlSerialForm | Form 1, Port COM3 not available
2020-01-07 19:34:56.8675 | Trace | GRBL_Plotter.MainForm          | loadHotkeys
2020-01-07 19:34:56.9155 | Trace | GRBL_Plotter.MainForm          | updateControls False
2020-01-07 19:34:57.0045 | Trace | GRBL_Plotter.MainForm          | LoadRecentList
2020-01-07 19:34:57.6249 | Trace | GRBL_Plotter.MainForm          | MainForm_Load finish
2020-01-07 19:35:05.4256 | Info  | GRBL_Plotter.MainForm          | Load file data\examples\graphic_grbl.svg
2020-01-07 19:35:05.4412 | Info  | GRBL_Plotter.MainForm          | startConvertSVG
2020-01-07 19:35:05.6136 | Trace | GRBL_Plotter.Plotter           | startCode()
2020-01-07 19:35:05.7156 | Trace | GRBL_Plotter.GCodeFromSVG      |   Path d m 142.42092,606.55353 c -9.87754,0 -18.78254,-5.94669 -22.5623,-15.06692 -3.77975,-9.1202 -1.68984,-19.61773 5.29461,-26.59814 6.98444,-6.98042 17.48803,-9.06913 26.6135,-5.29156 9.12549,3.77757 15.07561,12.67744 15.07561,22.54927 v 60.33496 c 0,13.4798 -10.93384,24.40734 -24.42142,24.40734 -6.74114,0.004 -12.2039,5.46643 -12.2039,12.20367 0,6.73725 5.46276,12.19987 12.2039,12.20367 26.97516,0 48.84285,-21.85508 48.84286,-48.81468 v -60.33496 c 0,-19.74367 -11.90025,-37.5434 -30.15123,-45.09855 -18.25095,-7.55513 -39.25812,-3.37771 -53.22701,10.58311 -13.968884,13.96083 -18.148711,34.95589 -10.589213,53.1963 7.559513,18.24045 25.369513,30.13383 45.124593,30.13383 h 12.21071 l 12.21071,-12.20367 -12.21071,-12.20367 h -12.21071
